ID,Korte omschrijving,Intervals,Extra info,Video,Img,Youtube Id,,
L005,Lage of hoge skipping met overgang naar versnelling,,Bij versnelling steeds grotere pas en lichaam moet rechtop komen,,,,,LS.VK.230
L006,Gewone versnelling,,Kleine pasje naar groot,,,mAiAvupFT6g?start=200&end=230,,
L007,Skipping met knie naar maximale hoogte,,Huppelpas met knie naar maximale hoogte,,x,mAiAvupFT6g?start=183&end=196,,
L008,Kaats sprong,,,,,,,
L017,Hinkelen – 1 been afzet met voorvoet,,Hinkel waarbij 1 been met de voorvoet afzet. Kort grondcontact. Links daarna rechts,,,,,
L009,Korte Pendelpas,,Pendelpas met benen gekromd,,x,d0QZoavQqW0?start=91&end=134,,
L019,Lange Pendelpas,,Pendelpas met benen gestrekt,,x,d0QZoavQqW0?start=140&end=198,,LS.VK.210
L010,Uitvalspas,,"Maakt een schoppende beweging schuin naar voren en landt door je knieen. Zo diep mogelijk zakken. Hou je bovenlichaam recht. Knie loodrecht boven je hiel. 
Eenmalig met tussenstapjes of direct achter elkaar",,x,mAiAvupFT6g?start=102&end=125,,LS.VK.211
L011,"Looppas 2x linkerbeen, 2x rechts",,Voorvoet landen en afzetten,,,,,
L012,Loopsprong,,,,,,,
L013,Gestrekte benen loop,,"Lichaam is volledig rechtop, gestrekt en is goed aangespannen.
Stuwing is vanuit de enkels en evenveel vooruit als omhoog gericht. Oefening mag zeker niet op scharen gaan lijken.",,x,mAiAvupFT6g?start=170&end=180,,LS.VK.215
L014,Backwards running,,,,,,,
L015,Brug vanuit zit,,Vanuit zitstand til je heup omhoog zodat je op je voeten en handen rust. Strek je heup op 1 lijn met je schouders en benen. Hoofd iets naar achteren buigen. Beweeg jezelf naar voren.,,x,,,
L016,Elastiek,,"Kort, langer, langst",,,,,
L018,Beide voeten tegelijk met kort grondcontact en hoog frequentie,,,,,,,
L019,Een Tweetje,,"Skipping met 1 kniehef, standbeen twee keer afzetten. Met het een tweetje oefen je de schaar-beweging. Hij is eenzijdig zodat je meer tijd hebt om een goede schaar beweging (twee kanten op) snel te maken.",,x,,,
L020,Twee Tweetje,,"Met het een tweetje oefen je de schaar-beweging. Tweemaal kniehef links, tweemaal rechts",,x,,,
L021,Eenbenig kaatsen,,Normaal kaats je links en rechts om en om. Nu alleen 1 been. Beweging is verder hetzelfde als de normale kaats,,x,,,
L022,Skipping met gestrekte armen,,,x,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
